experiment	epoch	train_macro_f1	val_accuracy	val_macro_f1	val_balanced_accuracy	val_top3	val_top5	seconds
k=6	1	0.1740745771981309	0.20666666666666667	0.14277655000295106	0.20666666666666667	0.49333333333333335	0.7166666666666667	2.0556416511535645
k=6	2	0.23126045195140935	0.24666666666666667	0.1945084868153629	0.2466666666666667	0.53	0.7233333333333334	0.31055474281311035
k=6	3	0.2547223073013936	0.25	0.209958005833175	0.25000000000000006	0.5733333333333334	0.72	0.3216280937194824
k=9	1	0.15999105040263517	0.24	0.18934946567786606	0.24000000000000002	0.54	0.6833333333333333	6.377704381942749
k=9	2	0.21385835236431125	0.22	0.17446642811117238	0.22	0.4866666666666667	0.6833333333333333	6.127465486526489
k=9	3	0.20466232050282654	0.23666666666666666	0.18697181531166354	0.2366666666666667	0.5666666666666667	0.74	5.968203067779541
