epoch,train_loss,val_loss,train_positive_distance,train_negative_distance,val_positive_distance,val_negative_distance,val_distance_gap,val_roc_auc,learning_rate,epoch_seconds
1,0.4345986901378632,0.4003584297180176,0.5070762,0.5591837,0.664908230304718,0.7181646823883057,0.053256452083587646,0.5768655709827555,0.0005,133.5475054999988
2,0.3882917747306824,0.382146804189682,0.5734911,0.6325539,0.5557510256767273,0.6172910332679749,0.06154000759124756,0.6038945137295963,0.0005,117.26250730000174
3,0.37983065794944765,0.3747168210506439,0.56941336,0.63962835,0.5891735553741455,0.6698403358459473,0.08066678047180176,0.6234112433950478,0.0005,114.8171422000014
4,0.3757426672267914,0.3715788577079773,0.5716304,0.65052843,0.5740399360656738,0.6589127779006958,0.08487284183502197,0.631822737195865,0.0005,114.20865390000108
5,0.37323534317970275,0.37541519329547884,0.56907225,0.65299386,0.582895040512085,0.662991464138031,0.08009642362594604,0.6216456827165298,0.0005,127.69781189999776
6,0.37132865569114687,0.37595873045921324,0.57464457,0.6625527,0.5874474048614502,0.6772465109825134,0.08979910612106323,0.6243386247619145,0.0005,127.05930739999894
7,0.3689445346927643,0.36164052639007566,0.5678457,0.660101,0.5744557976722717,0.6798545718193054,0.10539877414703369,0.6568327734270998,0.0005,127.81368599999405
8,0.366631974773407,0.3619858958721161,0.56908345,0.6655575,0.5723218321800232,0.6689165234565735,0.09659469127655029,0.6548476676902636,0.0005,129.08555360000173
9,0.3680070487499237,0.36093083324432373,0.56693524,0.66017646,0.5639076232910156,0.6643843054771423,0.10047668218612671,0.6583380481086283,0.0005,129.37949859999935
10,0.36464976190567017,0.35974686770439146,0.5648373,0.6654883,0.5583285689353943,0.6633531451225281,0.10502457618713379,0.6617315262943658,0.0005,126.22495869999693
11,0.36471123834609986,0.36552780389785766,0.56637365,0.668115,0.5566762685775757,0.6572445631027222,0.10056829452514648,0.6460351046488111,0.0005,124.64917019999848
12,0.3650192924785614,0.35855512013435364,0.56864184,0.66956764,0.5971112251281738,0.715973973274231,0.11886274814605713,0.6672058524228399,0.0005,125.3367586999957
13,0.36438599255561827,0.3580271287918091,0.565499,0.6672416,0.5655080080032349,0.6767212152481079,0.11121320724487305,0.6655505742852315,0.0005,124.21709900000133
14,0.3634421160411835,0.3602038506031036,0.5678869,0.67045563,0.567430317401886,0.6723505854606628,0.10492026805877686,0.6592151083160956,0.0005,124.69164060000185
15,0.36313908402442935,0.3596929009437561,0.5628461,0.66807246,0.5886731147766113,0.7179730534553528,0.12929993867874146,0.6664402947843918,0.0005,123.49227199999586
16,0.36245759020805357,0.35687846422195435,0.5668343,0.6727501,0.5430483222007751,0.6564398407936096,0.11339151859283447,0.6702096616306039,0.0005,124.11329440000554
17,0.36094208527565,0.3602277906417847,0.5616671,0.67160076,0.5658782720565796,0.6777973175048828,0.11191904544830322,0.6611612131543512,0.0005,124.0615312000009
