epoch	train_loss	train_auc	train_d_pos	train_d_neg	train_gap	val_loss	val_auc	val_d_pos	val_d_neg	val_gap	val_d_prime	seconds
1	0.37986201892852783	0.6219264016	0.5523669719696045	0.6441659331321716	0.09179896116256714	0.3815231071472168	0.62688254	0.61637282371521	0.7209629416465759	0.10459011793136597	0.4603196084499359	67.30302949999987
2	0.3690290567874909	0.6395927072	0.5625364780426025	0.6612927913665771	0.09875631332397461	0.377802658700943	0.6428385999999999	0.627608597278595	0.7495959401130676	0.12198734283447266	0.517087996006012	68.35900649999985
3	0.3664457051086426	0.6466449136000001	0.5601521134376526	0.6656851768493652	0.10553306341171265	0.36803418645858765	0.6437524000000001	0.5710093975067139	0.6707913279533386	0.09978193044662476	0.5168800950050354	118.64684390000002
4	0.3656592704772949	0.64769494	0.5615217685699463	0.6660270094871521	0.10450524091720581	0.37205801157951357	0.6394378599999999	0.5237363576889038	0.6167892813682556	0.0930529236793518	0.5014876127243042	67.84588799999983
5	0.36186290210723876	0.656721528	0.5600555539131165	0.6730840802192688	0.11302852630615234	0.37441128635406495	0.63253134	0.5979331135749817	0.6969377994537354	0.09900468587875366	0.47905898094177246	130.75738539999975
6	0.36152145667076113	0.6576405000000001	0.5597888827323914	0.673001229763031	0.11321234703063965	0.36707140340805056	0.6480036400000001	0.5332894325256348	0.6257658004760742	0.09247636795043945	0.5335710644721985	67.76651549999997
7	0.35933026573181154	0.6631604415999999	0.5559136867523193	0.6752376556396484	0.1193239688873291	0.36607564640045165	0.65068298	0.55117267370224	0.6615458130836487	0.11037313938140869	0.5448229908943176	115.43091360000017
8	0.36017319681167603	0.6604040784	0.5597971677780151	0.6750450730323792	0.11524790525436401	0.36644430594444277	0.64585624	0.555185854434967	0.6529725193977356	0.09778666496276855	0.5294842720031738	123.81246150000015
9	0.3580099454498291	0.6664449968	0.5584192872047424	0.6791884899139404	0.120769202709198	0.36391154437065126	0.65435464	0.5395575165748596	0.643319308757782	0.10376179218292236	0.5601009130477905	68.20358690000012
10	0.3578780159187317	0.6666240352	0.5562363862991333	0.6778846979141235	0.12164831161499023	0.3628603778839111	0.65769194	0.5926029086112976	0.7033905386924744	0.11078763008117676	0.5692259669303894	121.89230709999993
11	0.35746082109451294	0.6672060247999999	0.5584579110145569	0.6792885661125183	0.12083065509796143	0.36432330112457273	0.65576334	0.5902720093727112	0.7084072828292847	0.11813527345657349	0.5667317509651184	142.13557299999957
12	0.35727131539344786	0.6677738032	0.557631254196167	0.6796942353248596	0.12206298112869263	0.3644754771232605	0.65081576	0.5579220652580261	0.657294511795044	0.09937244653701782	0.5454831719398499	129.92785769999955
13	0.3545222343635559	0.6745082119999999	0.5576303601264954	0.6846757531166077	0.1270453929901123	0.3602207995414734	0.6627844399999999	0.5489102602005005	0.6626960635185242	0.11378580331802368	0.5906936526298523	97.6635409999999
14	0.3550146966171265	0.6731785824000001	0.5561638474464417	0.6831803321838379	0.12701648473739624	0.3655557301521301	0.65188308	0.5345625281333923	0.6350778341293335	0.10051530599594116	0.5482534766197205	128.28504280000016
15	0.3529473559761047	0.67850036	0.5525084137916565	0.6855182647705078	0.13300985097885132	0.3618509728431702	0.66105058	0.5869648456573486	0.7073269486427307	0.12036210298538208	0.5849432945251465	179.56984029999967
16	0.35490351857185365	0.6735761775999999	0.5565078258514404	0.68388432264328	0.1273764967918396	0.3619788022041321	0.6578408200000001	0.5665431618690491	0.6795962452888489	0.1130530834197998	0.5738440752029419	67.63003759999992
17	0.35225002975463865	0.680044844	0.5542759895324707	0.6873114109039307	0.13303542137145996	0.36041171798706056	0.6616527	0.5739542245864868	0.6905038952827454	0.11654967069625854	0.5887995362281799	183.50647279999976
18	0.3532239566802979	0.677303808	0.5540556907653809	0.6861574053764343	0.13210171461105347	0.358369743347168	0.66586794	0.562282919883728	0.6724896430969238	0.1102067232131958	0.601857602596283	176.89322730000004
19	0.35205950755119325	0.6800867871999999	0.5538543462753296	0.688145101070404	0.13429075479507446	0.3603015488624573	0.6625768	0.5641350746154785	0.6820427775382996	0.11790770292282104	0.5903534293174744	67.41843489999974
20	0.3500907434272766	0.68406232	0.5521477460861206	0.6912797093391418	0.13913196325302124	0.3638583752155304	0.65588728	0.5485337972640991	0.6636144518852234	0.11508065462112427	0.5649789571762085	195.21292900000026
21	0.351916677646637	0.6805610647999999	0.5545913577079773	0.6874480247497559	0.13285666704177856	0.36016892676353457	0.66078758	0.5468283295631409	0.6587302684783936	0.11190193891525269	0.5909385681152344	125.73770030000014
