epoch	train_loss	train_auc	val_loss	val_auc	d_pos	d_neg	gap	d_prime	train_seconds	val_seconds
1	0.38611292342185977	0.6109350054757399	0.3729461043357849	0.6340476295923696	0.5590978952095641	0.6534952435202093	0.09439734831064517	0.48126994406960766	19.77202999999281	2.147907899998245
2	0.3721182441711426	0.6344231965427761	0.37303890409469603	0.6474012673715692	0.49349130596153734	0.5935509855375032	0.10005967957596584	0.5382316381448086	19.269330099996296	1.5989925999892876
3	0.3685546957683563	0.6409938417804264	0.36361909189224245	0.6549818085335403	0.5653233394319765	0.6834801755645571	0.11815683613258054	0.5675558983961382	18.930455800000345	1.7510986999986926
4	0.3645569342803955	0.6509205414930233	0.3597181371688843	0.6625218424220254	0.5711096187189943	0.6858498225628576	0.1147402038438633	0.59191360413548	100.3436953999917	1.696562700002687
5	0.3644332483482361	0.6511884378364224	0.36016504096984864	0.6607753488216344	0.5680626240907626	0.6742879331541268	0.10622530906336425	0.5842668078019686	19.19868960000167	1.6642503000039142
6	0.36498964973449705	0.6497235425216787	0.3629262440681458	0.6556221635156809	0.5668300230138362	0.6816809816667907	0.11485095865295447	0.5686039455969956	19.36237619999156	1.6874760999926366
7	0.36267956077575686	0.6541688329051368	0.36038888778686523	0.6616928135616031	0.557160929268305	0.6710589453217745	0.1138980160534695	0.5885282187474854	19.44183460000204	1.682034899989958
8	0.3627978358364105	0.6547252265391101	0.36085914659500123	0.6601763412638373	0.5574074235929604	0.6556144094575092	0.09820698586454879	0.5807737837633022	19.48372720000043	1.7611154000042006
9	0.3635565316867828	0.6522369020327216	0.36312842712402343	0.655507702963144	0.5453266599909387	0.6457707153676246	0.10044405537668599	0.566387916043078	85.31573170000047	9.061392399991746
10	0.3601621720790863	0.6607985979162161	0.35830811376571653	0.6666638061530328	0.5683164086152067	0.6875732554964984	0.11925684688129168	0.6059524822009327	93.72536389999732	1.6619255999976303
11	0.36024492707252503	0.6614096426330217	0.36174010639190673	0.6611958043186233	0.5305353567750319	0.6479269760481253	0.11739161927309338	0.5928489317827813	19.362991600006353	1.7133929999981774
12	0.36116631937980653	0.6587423064879308	0.36000760688781736	0.6632293294583975	0.5912704309692145	0.7113325910626936	0.12006216009347914	0.5962347717258231	21.69320749999315	1.7374645999952918
13	0.3606208802127838	0.6606508748080375	0.35889665756225586	0.6658091926986409	0.5430172934596567	0.6514918324020174	0.1084745389423607	0.6068234055156551	20.181343099990045	1.7250777000008384
14	0.36026524676322935	0.6603851419851419	0.35788108320236206	0.6659426166562468	0.567977137761687	0.6839134577108142	0.11593631994912723	0.6076647460950491	43.28891109999677	9.083248000009917
15	0.360040550699234	0.6607107049861987	0.3565652200698853	0.6712264254169479	0.5914620701102783	0.7168763303147375	0.12541426020445923	0.6269058774421585	108.35871919999772	9.044607999996515
16	0.3583176857566833	0.6654404775279569	0.35828087005615233	0.6671980020732523	0.5393623527654456	0.6551033351206441	0.11574098235519847	0.6145867407571917	59.32329960000061	1.7432455999951344
17	0.3574715912055969	0.6671713178624141	0.3582569285392761	0.6661483135911883	0.5813016244711552	0.7037006683010943	0.12239904382993916	0.6091896938650667	19.65778790001059	1.7447711000131676
18	0.3578043363380432	0.6664133161872159	0.35788718280792237	0.6653239855748497	0.5592717458934843	0.6670048914324821	0.10773314553899782	0.6080931613491228	19.873550399992382	1.7545370000007097
19	0.3587873879051208	0.6639743817977442	0.35817717571258545	0.6683714727816527	0.5347493511110925	0.6490981279678815	0.11434877685678901	0.6185468943528664	19.880764200002886	2.711493299997528
20	0.35657061067581175	0.6697614866716184	0.3590791522026062	0.6650989851737779	0.542515241399939	0.6523000777079458	0.10978483630800684	0.6052454154837299	108.36795630000415	9.120442399987951
21	0.35736853472709657	0.6678782428293026	0.3588627304077148	0.6661102467559075	0.5919992998536897	0.7163858767205532	0.1243865768668635	0.608837272439713	98.42931230000977	1.6620167999935802
22	0.3592103205776215	0.6632670976347426	0.35731229820251464	0.6671620956258905	0.563128766867136	0.6760423482184889	0.11291358135135288	0.6126419855811748	19.29187460000685	1.7025284999981523
23	0.3546118657684326	0.6738363592755066	0.35787611503601074	0.6651501143545334	0.5705019066628683	0.6819188659288355	0.11141695926596729	0.6058724388905952	19.413709899992682	1.6887581999908434
24	0.35622418105125425	0.670847834759669	0.3590090832710266	0.6616627081558765	0.5791770512120715	0.6917691316484276	0.11259208043635605	0.5963014316611589	21.065393199998653	1.701385599997593
25	0.3538760531806946	0.6750072379346821	0.35550439281463625	0.6716524619160616	0.5653069242616043	0.69178862844669	0.12648170418508564	0.6325504529510076	51.29842120000103	9.05372099998931
26	0.35283240265846255	0.6775633457347525	0.3577645483016968	0.6661973623983922	0.5651181409535327	0.679480441913041	0.11436230095950828	0.6085907138174936	108.35479779999878	9.068091300010565
27	0.355491416015625	0.6724920847437892	0.3561849424362183	0.6707297962422133	0.5744411587370033	0.6944260473471728	0.11998488861016954	0.6233487980323462	45.971818200006965	1.713478199992096
