k,n_sequences,median_length,median_valid_kmers,median_distinct_kmers,median_unique_ratio,median_occupancy,q25_occupancy,q75_occupancy,median_sparsity
4,1616,466.0,463.0,180.0,0.364889899689731,70.3125,51.171875,89.16015625,29.6875
5,1616,466.0,462.0,305.0,0.6754816958034282,29.78515625,18.1396484375,57.51953125,70.21484375
6,1616,466.0,461.0,376.0,0.8608859504673892,9.1796875,5.1025390625,22.4609375,90.8203125
7,1616,466.0,460.0,409.0,0.9431757026543757,2.496337890625,1.32293701171875,6.6070556640625,97.503662109375
8,1616,466.0,459.0,424.0,0.977980494832793,0.64697265625,0.3383636474609375,1.761627197265625,99.35302734375
9,1616,466.0,458.0,428.0,0.9911014651329082,0.16326904296875,0.08459091186523438,0.4498481750488281,99.83673095703125
10,1616,466.0,457.0,432.0,0.9968118986312509,0.04119873046875,0.021076202392578125,0.1138448715209961,99.95880126953125
