k,fcgr_shape,median_distinct_kmers,median_unique_ratio,median_occupancy,median_sparsity,memory_float32_MB,train_dense_float32_GB,full_manifest_dense_float32_GB
4,16x16,180.0,0.364889899689731,70.3125,29.6875,0.0009765625,0.12041568756103516,0.6348428726196289
5,32x32,305.0,0.6754816958034282,29.78515625,70.21484375,0.00390625,0.4816627502441406,2.5393714904785156
6,64x64,376.0,0.8608859504673892,9.1796875,90.8203125,0.015625,1.9266510009765625,10.157485961914062
7,128x128,409.0,0.9431757026543757,2.496337890625,97.503662109375,0.0625,7.70660400390625,40.62994384765625
8,256x256,424.0,0.977980494832793,0.64697265625,99.35302734375,0.25,30.826416015625,162.519775390625
9,512x512,428.0,0.9911014651329082,0.16326904296875,99.83673095703125,1.0,123.3056640625,650.0791015625
10,1024x1024,432.0,0.9968118986312509,0.04119873046875,99.95880126953125,4.0,493.22265625,2600.31640625
