k,fcgr_shape,cells,memory_float32_MB,train_dense_float32_GB,full_manifest_dense_float32_GB
4,16x16,256,0.0009765625,0.12041568756103516,0.6348428726196289
5,32x32,1024,0.00390625,0.4816627502441406,2.5393714904785156
6,64x64,4096,0.015625,1.9266510009765625,10.157485961914062
7,128x128,16384,0.0625,7.70660400390625,40.62994384765625
8,256x256,65536,0.25,30.826416015625,162.519775390625
9,512x512,262144,1.0,123.3056640625,650.0791015625
10,1024x1024,1048576,4.0,493.22265625,2600.31640625
