length_bin,k,n,median_length,median_distinct,median_unique_ratio,median_occupancy,median_sparsity
long,5,500,1503.5,653.0,0.4288456258162919,63.76953125,36.23046875
long,6,500,1503.5,1096.5,0.7253659952546823,26.77001953125,73.22998046875
long,7,500,1503.5,1331.5,0.8940961263191586,8.1268310546875,91.8731689453125
medium,5,500,505.5,335.5,0.68695491855842,32.763671875,67.236328125
medium,6,500,505.5,427.0,0.8783583286550646,10.4248046875,89.5751953125
medium,7,500,505.5,459.5,0.9554234523641963,2.8045654296875,97.1954345703125
short,5,500,191.0,159.0,0.854290408189056,15.52734375,84.47265625
short,6,500,191.0,175.0,0.9509488005728607,4.2724609375,95.7275390625
short,7,500,191.0,181.0,0.9864864864864865,1.104736328125,98.895263671875
