epoch,train_loss,val_loss,train_positive_distance,train_negative_distance,val_positive_distance,val_negative_distance,val_distance_gap,val_roc_auc,learning_rate,epoch_seconds
1,0.255901242556572,0.5020074876785279,0.4903901,0.48906988,0.0003816061944235116,0.0003908016951754689,9.195500751957297e-06,0.5305132630255801,0.0003,138.59084440000152
2,0.2545492843437195,0.502074751663208,0.49209097,0.4922499,0.0003140463959425688,0.0003238032222725451,9.75682632997632e-06,0.5455772300993815,0.0003,117.75085730000137
3,0.2549563339805603,0.5020539672851563,0.4889029,0.48805907,0.00033639988396316767,0.000344505300745368,8.105416782200336e-06,0.532220542361296,0.0003,118.0419905000017
4,0.25440554286003114,0.5021159434318543,0.49221092,0.49262494,0.0002760107454378158,0.0002827887947205454,6.778049282729626e-06,0.526728595826848,0.0003,116.71538639999926
5,0.25445446413993833,0.5020863296031952,0.49014258,0.49031523,0.00030238719773478806,0.0003122706839349121,9.883486200124025e-06,0.5412343900403465,0.00015,116.75244639999801
6,0.25424209732055664,0.5021141823768616,0.49800104,0.49795178,0.00027767804567702115,0.00028453877894207835,6.860733265057206e-06,0.5257316728577427,0.00015,123.6976487000029
7,0.2539790760040283,0.5021415994644165,0.4923259,0.49218848,0.00025254132924601436,0.00025722995633259416,4.6886270865798e-06,0.5275470346836791,0.00015,128.2838550000015
8,0.2540530667591095,0.5021154759407044,0.49370885,0.49351567,0.0002762592339422554,0.0002832460741046816,6.986840162426233e-06,0.5326968733359616,7.5e-05,126.98765750000166
