epoch	train_loss	train_auc	val_loss	val_auc	d_pos	d_neg	gap	d_prime	seconds
1	0.3843450141429901	0.6251467696	0.3779135754585266	0.62916708	0.5430196523666382	0.642875075340271	0.09985542297363281	0.4646797478199005	42.18553489999613
2	0.37009968626976014	0.642432468	0.38233070449829104	0.64082312	0.6298205852508545	0.7554956078529358	0.1256750226020813	0.5058366656303406	42.75340060000599
3	0.3675988179779053	0.6473985880000002	0.37089867157936096	0.64254802	0.5984660983085632	0.7047666907310486	0.10630059242248535	0.5115684866905212	97.82583760000125
4	0.36622489616394044	0.6499471760000001	0.37594331798553465	0.63569714	0.5113312602043152	0.6061689257621765	0.09483766555786133	0.48679980635643005	111.01129219999711
5	0.36184009377479553	0.6588416880000001	0.3776906406402588	0.6237561600000001	0.5840819478034973	0.6758946776390076	0.09181272983551025	0.4463226795196533	207.9117120999872
6	0.36116599864006044	0.6604937752	0.36940572233200075	0.64026306	0.548068642616272	0.6416060328483582	0.09353739023208618	0.5062031745910645	51.76868860000104
7	0.3596680626964569	0.6644436728	0.3692902159690857	0.64287026	0.5641846060752869	0.6685044765472412	0.10431987047195435	0.5147624611854553	288.4727152999985
8	0.36084005576133726	0.6608779728	0.37458622970581057	0.6333089399999999	0.5224361419677734	0.6082358360290527	0.0857996940612793	0.478247731924057	108.04881340000429
9	0.3584610616970062	0.6662808823999999	0.36900257654190066	0.64367378	0.5409684777259827	0.6450267434120178	0.10405826568603516	0.5223663449287415	126.16165880000335
10	0.3574254479122162	0.6698254304	0.3675687791824341	0.64768344	0.5992055535316467	0.7045281529426575	0.10532259941101074	0.5314491391181946	246.03977869999653
11	0.35740869563102723	0.669227916	0.3693837320804596	0.65033582	0.6004162430763245	0.7219405770301819	0.12152433395385742	0.5450533628463745	42.43650000001071
12	0.3587677044200897	0.6655266088	0.36313344678878784	0.65556846	0.5522420406341553	0.6551395654678345	0.1028975248336792	0.5603663325309753	263.7294092999946
13	0.35341003696441653	0.678492956	0.3643147207736969	0.6537489000000001	0.5572895407676697	0.6695787310600281	0.1122891902923584	0.5573884844779968	42.650032200006535
14	0.35385373805999754	0.677373372	0.3691546921253204	0.6439606999999999	0.534798264503479	0.6347206234931946	0.09992235898971558	0.5204167366027832	169.10239670000738
15	0.34992742481231687	0.6866697447999999	0.367092272567749	0.65503964	0.6072043776512146	0.7276756763458252	0.1204712986946106	0.5596823692321777	48.41348339999968
16	0.3519589390850067	0.6819436408	0.36406801443099973	0.6554888000000001	0.5620803236961365	0.6779231429100037	0.11584281921386719	0.5621521472930908	288.47523450000153
17	0.3475645281887054	0.6910124952000001	0.3669120866298676	0.6506509199999999	0.5926764011383057	0.7070468664169312	0.11437046527862549	0.5459825992584229	163.9997907999932
18	0.3476491486930847	0.6912427336	0.36837816228866577	0.6453587199999999	0.5865508913993835	0.6912407279014587	0.1046898365020752	0.5218130946159363	73.51848899999459
19	0.3445352410793304	0.6982740464	0.36402358713150024	0.6569503600000001	0.5723119378089905	0.6921103596687317	0.11979842185974121	0.5670543313026428	288.5274538000085
20	0.3406932959270477	0.7058243280000001	0.3695704730987549	0.6463936400000001	0.5658509731292725	0.6821689605712891	0.1163179874420166	0.5294800996780396	113.85870469998918
21	0.34085989426612856	0.7057167959999999	0.3688642221450806	0.6475335999999999	0.5617306232452393	0.6785848736763	0.11685425043106079	0.5342780351638794	122.23720669999602
22	0.3376305960941315	0.7124928023999999	0.37294785537719727	0.6508565	0.6044793128967285	0.7373851537704468	0.13290584087371826	0.547799825668335	288.4888006999972
23	0.33110086053848264	0.7246185895999999	0.3769609214305878	0.6437498399999999	0.5917233824729919	0.7205469012260437	0.12882351875305176	0.5184879899024963	106.16367949999403
24	0.3239647546195984	0.7378269559999999	0.3765918969631195	0.64457942	0.5968064069747925	0.7255041003227234	0.1286976933479309	0.5212736129760742	138.58207579998998
25	0.3207351352405548	0.7436193079999999	0.3768294279098511	0.63571922	0.5943528413772583	0.7085093259811401	0.11415648460388184	0.493100643157959	235.95778240000072
26	0.31449243911743163	0.7539060087999999	0.3783105550765991	0.63578596	0.5754294991493225	0.6933901906013489	0.11796069145202637	0.49046576023101807	42.01817270000174
27	0.30511523955345154	0.7694529416	0.38582930455207826	0.63272956	0.6081845760345459	0.7308790683746338	0.12269449234008789	0.4770733416080475	278.7645990999881
28	0.30079204653739927	0.7759700744000001	0.3967755225658417	0.6339234200000001	0.628280520439148	0.7659192085266113	0.13763868808746338	0.47994422912597656	135.4546193999995
29	0.29293561202049256	0.7871879168	0.38252080669403077	0.64243898	0.5984702110290527	0.7353212833404541	0.13685107231140137	0.5136275291442871	116.16877899999963
