epoch	train_loss	val_loss	val_auc	cos_pos	cos_neg	gap	d_prime	train_seconds	val_seconds
1	0.09126800298690796	0.08831902593374252	0.6063358251313848	0.9577770829200745	0.9350540041923523	0.022723078727722168	0.35872703790664673	21.628459600004135	2.9671272999985376
2	0.08713898062705994	0.08599289506673813	0.6172973675330895	0.929887056350708	0.901853084564209	0.028033971786499023	0.40300458669662476	22.547267400004785	2.9349065000133123
3	0.0855015441775322	0.08723850548267365	0.6127588039689491	0.9374201893806458	0.9127600193023682	0.024660170078277588	0.3862772285938263	22.479165099997772	2.9301929000066593
4	0.08564925193786621	0.0860382542014122	0.6193470543095765	0.9144189357757568	0.8836302161216736	0.030788719654083252	0.4126252233982086	22.60567629999423	2.5391520999983186
5	0.08395673334598541	0.08447587490081787	0.6294778172828692	0.9172753691673279	0.8824716210365295	0.03480374813079834	0.45146098732948303	20.179503899998963	2.1793719999986934
6	0.08361383527517319	0.08319777250289917	0.6374523273749155	0.9206020832061768	0.8859754800796509	0.03462660312652588	0.4754825234413147	69.51037260000885	2.95261420001043
7	0.08238140493631363	0.0834677442908287	0.6379394781358206	0.9177008867263794	0.8800554275512695	0.03764545917510986	0.484440416097641	22.067950200013	3.2861260999925435
8	0.08434208482503891	0.08489115536212921	0.6226822372431209	0.9231666922569275	0.8911546468734741	0.03201204538345337	0.4281485676765442	23.824629599999753	2.98960430000443
9	0.08235510438680649	0.08284705877304077	0.6376545548666175	0.9193291068077087	0.883252739906311	0.036076366901397705	0.4651350677013397	22.15910299999814	2.6068910000030883
10	0.0817764401435852	0.08227940648794174	0.6434581057148564	0.9170804023742676	0.8802691698074341	0.036811232566833496	0.4896433651447296	22.122580199997174	2.883024099995964
11	0.0824698731303215	0.08292632550001144	0.6344185748522241	0.919526219367981	0.8843220472335815	0.035204172134399414	0.46229347586631775	22.72273690000293	2.4316944000020158
12	0.08201506733894348	0.08199099451303482	0.6458195673776301	0.9126142263412476	0.871974766254425	0.04063946008682251	0.4962462782859802	53.72145189999719	10.127723699988564
13	0.08224634826183319	0.08424162119626999	0.630593800101676	0.9206240773200989	0.8883345723152161	0.03228950500488281	0.4512110650539398	70.91303759999573	2.299536499995156
14	0.08131955564022064	0.08228621631860733	0.6404355580398304	0.9125560522079468	0.8742019534111023	0.03835409879684448	0.4801938831806183	21.101311799997347	2.948568499996327
15	0.08137837052345276	0.08161666989326477	0.6479530103904152	0.910541296005249	0.8701015114784241	0.04043978452682495	0.5068191885948181	23.66816979998839	3.4195007999951486
16	0.08124089986085892	0.08086544275283813	0.6503840621606533	0.9165647625923157	0.8762456178665161	0.04031914472579956	0.5178568363189697	23.055542600006447	2.990113299994846
17	0.08078094571828842	0.08233711123466492	0.6379666498914089	0.9152803421020508	0.8779680728912354	0.03731226921081543	0.4637734889984131	22.732952899998054	3.128305000005639
18	0.0809689611196518	0.08192523568868637	0.6488475974245498	0.920120358467102	0.8839089274406433	0.03621143102645874	0.5038468241691589	103.08706259999599	9.527881500005606
19	0.08123279362916946	0.08141282945871353	0.6458725903174749	0.9233983755111694	0.88608318567276	0.037315189838409424	0.4990728795528412	38.10428220000176	2.1601393000019016
20	0.08073288202285767	0.08106712996959686	0.6516284605371667	0.9119523763656616	0.8716112375259399	0.04034113883972168	0.5101569294929504	20.349567299999762	2.2417777000082424
21	0.08075004070997238	0.08148927241563797	0.6455600551022395	0.9152160286903381	0.8740735054016113	0.04114252328872681	0.49230414628982544	20.49972200000775	2.213940800007549
22	0.080711729824543	0.08080350607633591	0.6505832883538735	0.9188322424888611	0.8795185685157776	0.039313673973083496	0.5102736353874207	20.78267990000313	2.2014796000003116
23	0.08067299425601959	0.0814061239361763	0.6450977951100765	0.9225313663482666	0.8843334913253784	0.038197875022888184	0.49929583072662354	62.702089800004615	9.964587999987998
24	0.08072862774133682	0.08104254305362701	0.6449340442649107	0.9141186475753784	0.8741080164909363	0.04001063108444214	0.4810953140258789	41.79705500000273	2.9510590999998385
25	0.07978834211826324	0.08170069009065628	0.6443491912340956	0.909231424331665	0.8685716390609741	0.04065978527069092	0.48498913645744324	22.569959900007234	2.953538200003095
26	0.08033033460378647	0.08053258061408997	0.6523558552372098	0.9108739495277405	0.867062509059906	0.04381144046783447	0.5241348743438721	22.81150360000902	3.066887699998915
27	0.0807068943977356	0.08195327967405319	0.6418359839200832	0.9075774550437927	0.8684718608856201	0.03910559415817261	0.46497365832328796	68.35920599999372	9.940806500002509
28	0.07992013543844223	0.08240718394517899	0.6331807193064007	0.9148444533348083	0.8772640824317932	0.03758037090301514	0.4390271306037903	37.805139900010545	2.930828999989899
29	0.07984372228384018	0.08096179366111755	0.6482958787289733	0.9118660092353821	0.8704968690872192	0.04136914014816284	0.4987322986125946	22.485312100005103	2.9246137000009185
30	0.07901691645383835	0.08097831159830093	0.6508337567165058	0.9104493856430054	0.8673197627067566	0.04312962293624878	0.5085392594337463	22.978395700003603	2.765680299999076
31	0.07951129972934723	0.0801415666937828	0.6519822536021985	0.9149284958839417	0.873384952545166	0.041543543338775635	0.5100815296173096	93.9948635000037	9.62858080001024
32	0.07883301377296448	0.08009295165538788	0.6520778949804844	0.9126676917076111	0.8713783025741577	0.04128938913345337	0.504779577255249	62.73341850000725	2.1728661000088323
33	0.07975123077630997	0.0796627327799797	0.6540047085971274	0.9138744473457336	0.8713003993034363	0.04257404804229736	0.5262173414230347	20.221882199999527	2.218641800005571
