epoch	train_loss	positive_cosine	negative_cosine	cosine_gap	h_std	val_accuracy	val_macro_f1	val_balanced_accuracy	seconds
1	4.469125192881537	0.9742058680991256	0.9598013001703037	0.014404567928821868	0.015542542696452413	0.24843637855018968	0.21450858328574526	0.2629252462302781	6.060391799997888
2	4.437811137152262	0.9649393304672531	0.9455908530112002	0.019348477456052948	0.022883894021123535	0.26914795447554596	0.23173747050040816	0.2813044625941344	6.199455499998294
3	4.421325484156156	0.9606433680755557	0.9389822804882499	0.0216610875873058	0.02605936957431157	0.2779657541269353	0.23685480474629542	0.28713573278648546	6.226432499999646
4	4.403907282724127	0.9557374158286324	0.9315991190903087	0.024138296738323604	0.029613954401061564	0.27653029836973236	0.23523044626374356	0.28594112025357793	6.172215999991749
5	4.402182296201756	0.953878344465118	0.929492843241746	0.024385501223371964	0.03147126892192056	0.2759151030452169	0.23648438560159143	0.28711520590063927	5.805734699999448
6	4.391392207417652	0.9523292582751227	0.9263241637795597	0.026005094495563	0.032954132481842896	0.2825797190608018	0.24275536426929134	0.2958698325838906	18.674975700007053
7	4.387517122261425	0.9517823650356482	0.9251621225034329	0.02662024253221519	0.03409365415856412	0.2830923818312314	0.24340782714308584	0.2977274057226587	28.866443099992466
8	4.38144955798247	0.9498600277610605	0.9223331976752771	0.027526830085783403	0.035660740037664715	0.29057725827950376	0.24753972306080563	0.29935431347841496	29.15476459999627
9	4.374388125459504	0.9490720577566343	0.9203667652017716	0.0287052925548626	0.03713301951667655	0.29529375576745615	0.25188890470501907	0.30313457201006366	29.220250699989265
10	4.3714076230734475	0.9483128051794074	0.919234340861723	0.02907846431768439	0.038553722741032734	0.29232031169896444	0.25652555849893405	0.30906016784502477	29.008961800005636
11	4.362167878749252	0.9468406094344397	0.9160802513927562	0.03076035804168353	0.04018427440082166	0.288936737414129	0.249121284051642	0.30403960540943453	29.20249049999984
12	4.360641961768553	0.9468708212837973	0.9161302596897227	0.03074056159407467	0.04262423515319824	0.29662667897057315	0.2563461365646215	0.30751411199251294	28.955455799994525
