epoch,train_loss,val_loss,train_positive_distance,train_negative_distance,val_positive_distance,val_negative_distance,val_distance_gap,val_roc_auc,learning_rate,epoch_seconds
16,0.2327143059587478,0.230733613204956,0.45286703,0.53630644,0.433631032705307,0.5214881896972656,0.0878571569919586,0.6608264854422247,0.00025,112.70232690000012
17,0.2305966956853866,0.229201635479927,0.44984984,0.53766483,0.4588871300220489,0.5544613599777222,0.0955742299556732,0.6666333592325968,0.00025,114.64031109999996
18,0.2305415263462066,0.2284643923282623,0.45203727,0.5398366,0.4383222460746765,0.5236467719078064,0.0853245258331298,0.6689937336156224,0.00025,113.48340460000054
19,0.2306515218448639,0.2277248062610626,0.45215476,0.53892595,0.4332898557186126,0.5235862731933594,0.0902964174747467,0.6721791070066254,0.00025,112.83257649999996
20,0.230435665564537,0.2290292668581008,0.4519893825054168,0.5393399596214294,0.4398336708545685,0.5297786593437195,0.089944988489151,0.6670771894584451,0.00025,119.43325379999987
21,0.2289269817876816,0.2280437191486358,0.4512328803539276,0.5430264472961426,0.423499584197998,0.5203754305839539,0.0968758463859558,0.6720953850776722,0.00025,111.9536690999994
22,0.2288290079593658,0.2273085970878601,0.4485040605068207,0.5399903655052185,0.4551562368869781,0.5520181059837341,0.0968618690967559,0.6719355213944129,0.00025,112.50804549999884
23,0.2273348908185959,0.2286704120397567,0.4488415718078613,0.5461204051971436,0.4427016377449035,0.5329074263572693,0.0902057886123657,0.6684600013184303,0.00025,113.38607500000036
24,0.2292015294218063,0.2282272920131683,0.4500009417533874,0.5408384799957275,0.4532345235347748,0.5455535650253296,0.0923190414905548,0.6689480925640526,0.00025,113.35445359999903
25,0.2288764735174179,0.2278537249565124,0.4544055163860321,0.5468874573707581,0.4570336043834686,0.5557839870452881,0.0987503826618194,0.6697808117499028,0.000125,113.4105722000004
26,0.2276354018163681,0.2264163857460022,0.4507774412631988,0.5444225668907166,0.4487569630146026,0.5473648309707642,0.0986078679561615,0.6758177308405187,0.000125,112.42560889999912
27,0.2273856482648849,0.2258200767755508,0.4504077434539795,0.5466345548629761,0.4506447315216064,0.5467198491096497,0.0960751175880432,0.6781548446876217,0.000125,113.12331149999956
28,0.2281411794710159,0.22580941324234,0.449615865945816,0.5425693988800049,0.4459201097488403,0.5419235825538635,0.0960034728050232,0.6778769982860405,0.000125,113.54355699999904
29,0.2258112905454635,0.2250344542503357,0.4466273784637451,0.5463659763336182,0.4469681978225708,0.5489551424980164,0.1019869446754455,0.6809215084315542,0.000125,113.53047739999964
30,0.226608963356018,0.2249806087017059,0.4484674036502838,0.5472633838653564,0.4506323337554931,0.5560858249664307,0.1054534912109375,0.6807680648962153,0.000125,112.34969760000058
31,0.2272627097654342,0.2258965072154998,0.4506610035896301,0.5473450422286987,0.4643101692199707,0.5729912519454956,0.1086810827255249,0.6796269786055871,0.000125,112.72767920000116
32,0.2272756525039672,0.2261635083198547,0.4509086906909942,0.5468181371688843,0.4346703588962555,0.5282571315765381,0.0935867726802825,0.6780098813476663,0.000125,113.07614329999888
33,0.2267867884969711,0.2251139241456985,0.4506091475486755,0.5471424460411072,0.4491859674453735,0.5489506721496582,0.0997647047042846,0.6807053434511131,6.25e-05,111.8862246000008
34,0.2258887062835693,0.2248225950479507,0.4482865929603576,0.5469070672988892,0.4489521384239197,0.5497362613677979,0.1007841229438781,0.6814199599158764,6.25e-05,111.82579499999883
35,0.2265399070882797,0.2253382812023162,0.4498829543590545,0.5478179454803467,0.4437536597251892,0.5415225028991699,0.0977688431739807,0.680336794959756,6.25e-05,119.46857900000032
36,0.2252326858615875,0.2245171687602996,0.4485127925872803,0.5495335459709167,0.4454116523265838,0.5490992069244385,0.1036875545978546,0.6824821043876851,6.25e-05,112.60170459999972
37,0.2250157499408722,0.2241523364782333,0.4454527199268341,0.5468538999557495,0.4490857422351837,0.5528959035873413,0.1038101613521575,0.6837770142224077,6.25e-05,115.16331119999997
38,0.2232570314836502,0.2245994086742401,0.4471615254878998,0.5538156628608704,0.4467606246471405,0.5535487532615662,0.1067881286144256,0.6825609662046613,6.25e-05,112.94949319999978
39,0.2256727697134018,0.2248921149253845,0.4484511017799377,0.5483102202415466,0.4473558962345123,0.5464727282524109,0.0991168320178985,0.6812978371021667,6.25e-05,113.12917030000062
40,0.2249972691297531,0.2247266842603683,0.4514204561710357,0.5536855459213257,0.4504509270191192,0.5557175874710083,0.105266660451889,0.6808584069776967,6.25e-05,113.53623080000034
41,0.2253073562669754,0.2245119475841522,0.4486869573593139,0.549029529094696,0.4472315609455108,0.5494577288627625,0.1022261679172515,0.6825389856982306,3.125e-05,112.7621737999998
42,0.224782400522232,0.2242781036615371,0.4482834935188293,0.5513201355934143,0.4505113661289215,0.5538678169250488,0.1033564507961273,0.6834237660835706,3.125e-05,112.49564959999952
43,0.225658364572525,0.2241079860210418,0.4481119811534881,0.5477996468544006,0.4464225172996521,0.5494802594184875,0.1030577421188354,0.6839467581333074,3.125e-05,113.72283159999824
44,0.2233966962003707,0.2238661174297332,0.4452282786369324,0.5509258508682251,0.4470695555210113,0.5513917803764343,0.1043222248554229,0.6847674170412886,3.125e-05,113.50322150000102
