epoch,train_loss,val_loss,train_positive_distance,train_negative_distance,val_positive_distance,val_negative_distance,val_distance_gap,val_roc_auc,learning_rate,epoch_seconds
1,0.2757244115018845,0.2467289022445678,0.396616,0.45021293,0.4498303830623626,0.502362072467804,0.0525316894054412,0.5981159205908104,0.0005,135.37629300000026
2,0.2447980736637115,0.2442490790843963,0.45317087,0.51175344,0.4333813190460205,0.495122492313385,0.0617411732673645,0.6145943202531388,0.0005,116.58241879999969
3,0.2412169658374786,0.2374601689815521,0.45306933,0.5159635,0.4673795402050018,0.5398216247558594,0.0724420845508575,0.6333454322787597,0.0005,114.0159918999998
4,0.2380121251630783,0.2364403728485107,0.4530512,0.52512324,0.4576793909072876,0.5351987481117249,0.0775193572044372,0.638559712415774,0.0005,115.67755410000063
5,0.2365990346050262,0.236030770778656,0.4522787,0.5269837,0.4656887650489807,0.5352408289909363,0.0695520639419555,0.6376339310857722,0.0005,115.2404322000002
6,0.2357410632848739,0.2331528925418853,0.45746118,0.53416014,0.4680134952068329,0.5499169826507568,0.0819034874439239,0.6496569280956233,0.0005,115.8841252000002
7,0.2350976597166061,0.2303437049865722,0.45248765,0.5293318,0.4455475211143493,0.5301293730735779,0.0845818519592285,0.6619579515112028,0.0005,115.53488490000018
8,0.2347379173660278,0.2312277855873108,0.45400575,0.5319393,0.4598923325538635,0.5399698615074158,0.0800775289535522,0.6568569939851414,0.0005,115.5776493000003
9,0.2352509677934646,0.2309012944221496,0.4522421,0.5285314,0.444746196269989,0.530413031578064,0.0856668353080749,0.6594568138849919,0.0005,114.98412240000016
10,0.2340982030534744,0.2291067306995391,0.4512724,0.53090763,0.4564933180809021,0.544188916683197,0.0876955986022949,0.6653809903780183,0.0005,114.33258139999998
11,0.2332266136837005,0.2324326163291931,0.4523046,0.53446954,0.4240377247333526,0.500395655632019,0.0763579308986663,0.6569185754039774,0.0005,114.54801979999957
12,0.2342441134786606,0.2291533398389816,0.45517716,0.5341724,0.4655021429061889,0.5618645548820496,0.0963624119758606,0.66620856944544,0.0005,114.34474810000027
13,0.2335584132099151,0.2314979364395141,0.45231047,0.5327518,0.4498609006404876,0.5270716547966003,0.0772107541561126,0.6555422436932947,0.0005,113.26732459999948
14,0.2332861823272705,0.2296244984865188,0.45496094,0.534934,0.4524208307266235,0.5389897227287292,0.0865688920021057,0.6629957354217441,0.0005,114.27273049999984
15,0.2326390989351272,0.2305221187591552,0.45060375,0.53399485,0.4755162596702575,0.5784564018249512,0.1029401421546936,0.6661967091721793,0.0005,112.64223860000038
