epoch	train_loss	train_auc	val_loss	val_auc	d_pos	d_neg	gap	d_prime	seconds
1	0.3809206250095367	0.6186070096	0.39025147552490236	0.6023404399999999	0.5490622520446777	0.6271420121192932	0.07807976007461548	0.3658798336982727	18.626218000004883
2	0.3699018782043457	0.639064976	0.37154339380264284	0.64386848	0.5948784947395325	0.7087224721908569	0.11384397745132446	0.519016683101654	18.186814599990612
3	0.36691987924575803	0.6459637951999999	0.3701655220031738	0.63977842	0.5859073400497437	0.685830295085907	0.09992295503616333	0.5035443902015686	18.670006999993348
4	0.3651956846523285	0.6492187911999999	0.37272129125595094	0.64158216	0.5069815516471863	0.5972081422805786	0.09022659063339233	0.5113194584846497	104.27199549999204
5	0.36140887207984923	0.6581801688000001	0.3684106017112732	0.6433405400000001	0.5711662173271179	0.6712167263031006	0.10005050897598267	0.5146034359931946	43.85106260000612
6	0.3603012037181854	0.6607601504	0.36856944818496706	0.6435681999999999	0.5393433570861816	0.6331156492233276	0.093772292137146	0.5173714756965637	18.60205450000649
7	0.35825515570640565	0.6658627368000001	0.3631825228691101	0.65478324	0.5710723996162415	0.6800088882446289	0.10893648862838745	0.5612320303916931	18.55200650000188
8	0.3593421802139282	0.6626980863999999	0.3682683237552643	0.64406714	0.5664157271385193	0.6681682467460632	0.10175251960754395	0.5179678201675415	18.53975480000372
9	0.35786116680145263	0.667462552	0.36354893007278444	0.6544556399999999	0.5491401553153992	0.6552469730377197	0.10610681772232056	0.5599641799926758	101.85951049999858
10	0.3567085425376892	0.670266952	0.36532503085136414	0.65145982	0.5948771238327026	0.7002922892570496	0.10541516542434692	0.5458459258079529	104.25053340000159
11	0.3563134236431122	0.670300848	0.3670697014808655	0.6516565799999999	0.5848241448402405	0.7042173147201538	0.11939316987991333	0.5500138401985168	18.452852500005974
12	0.35645406754493714	0.670186192	0.36378191628456114	0.65251718	0.5612072944641113	0.666412889957428	0.10520559549331665	0.5543422698974609	18.235164099998656
13	0.3531250082683563	0.6780262072000001	0.36417908811569216	0.6538196	0.5546689033508301	0.6637507677078247	0.10908186435699463	0.555887758731842	18.538063500003773
14	0.35441192141532896	0.674890644	0.3671683629989624	0.64699906	0.5454742908477783	0.6470297574996948	0.1015554666519165	0.5307613611221313	50.81911460000265
15	0.35100213850975037	0.6831555767999999	0.3641431609630585	0.65968462	0.5982547998428345	0.7218831777572632	0.12362837791442871	0.578087329864502	104.07632609999564
16	0.35254136766433714	0.6794811392	0.36282522554397584	0.6572815399999999	0.5667659044265747	0.6838353276252747	0.11706942319869995	0.5716335773468018	68.6328657999984
17	0.3489118008422852	0.6879454336000002	0.3655033686161041	0.65215638	0.5886236429214478	0.7015824317932129	0.11295878887176514	0.5519479513168335	18.258006999996724
18	0.3501702078151703	0.6847507976	0.36101769123077393	0.6602218	0.5705868601799011	0.6802783608436584	0.10969150066375732	0.5785942077636719	18.257038900002954
19	0.34762000122070313	0.6907937576000001	0.36172386426925657	0.6610521	0.5724447965621948	0.6967279314994812	0.12428313493728638	0.5870362520217896	18.4660259999946
20	0.3452670807170868	0.6956024056000001	0.3659900255680084	0.6521052600000001	0.5575451254844666	0.674862802028656	0.11731767654418945	0.5519970059394836	65.89328260000912
21	0.34501289812088015	0.695966588	0.3684601952075958	0.64549762	0.5479377508163452	0.6577702164649963	0.10983246564865112	0.5298179388046265	104.15579109999817
22	0.3423098414039612	0.7025697752	0.3671941447257996	0.65656084	0.5909513831138611	0.7215513586997986	0.1305999755859375	0.5675392150878906	56.74855960000423
23	0.34001508311271667	0.706453872	0.3691136430263519	0.65349302	0.5953872799873352	0.7226888537406921	0.12730157375335693	0.5537882447242737	18.242849699992803
24	0.3370725481987	0.7128002632	0.36690400524139405	0.65388648	0.576926589012146	0.7020792961120605	0.12515270709991455	0.5576220750808716	18.35655830000178
25	0.33483064538002016	0.7169986144	0.3703364646434784	0.6465456399999999	0.5886958241462708	0.7073436975479126	0.11864787340164185	0.531582236289978	18.526739300010377
26	0.33173541506767273	0.7232275496	0.37242659587860105	0.64528628	0.5801835060119629	0.7036188840866089	0.123435378074646	0.5270301699638367	95.74436909999349
27	0.32380261697769164	0.7378245232	0.3705404897689819	0.64852298	0.588539719581604	0.7111650109291077	0.12262529134750366	0.5368216037750244	104.04553390000365
28	0.3214277487850189	0.7422458736	0.37472917623519897	0.6453131599999999	0.5975731611251831	0.7229522466659546	0.12537908554077148	0.5238114595413208	36.227924400009215
29	0.31650511450767516	0.7507169944	0.3786527370929718	0.64545158	0.6062660813331604	0.7407175898551941	0.1344515085220337	0.5265956521034241	18.32803160000185
