epoch	train_loss	train_auc	train_d_pos	train_d_neg	train_gap	semihard_fraction	valid_negative_fraction	val_loss	val_auc	val_d_pos	val_d_neg	val_gap	val_d_prime	seconds
1	0.36271293902397156	0.6432513088	0.5740761160850525	0.6711909174919128	0.09711480140686035	0.9413682864145245	0.9413682864145245	0.363681437253952	0.654032	0.5818278193473816	0.6839204430580139	0.10209262371063232	0.5520810484886169	26.956525999994483
2	0.36222904296875	0.6428830248	0.5745060443878174	0.6718631982803345	0.09735715389251709	0.9407289002252661	0.9407289002252661	0.36320110273361206	0.6553323799999999	0.5884859561920166	0.6867642402648926	0.09827828407287598	0.5543869733810425	27.788416499999585
3	0.36079984152793887	0.644900536	0.5748477578163147	0.6737923622131348	0.09894460439682007	0.9410885549567239	0.9410885549567239	0.3646749159812927	0.65224464	0.5862122774124146	0.686726450920105	0.10051417350769043	0.5434072613716125	59.634706899989396
4	0.3609327653503418	0.6452384087999999	0.5747300982475281	0.6745014190673828	0.09977132081985474	0.94024136837791	0.94024136837791	0.36345392932891846	0.6564346400000001	0.5803285837173462	0.6855542659759521	0.10522568225860596	0.5564165115356445	163.1469308999949
5	0.3604343895816803	0.6456694704	0.5728543996810913	0.6741557717323303	0.10130137205123901	0.9403852302095165	0.9403852302095165	0.3632348159790039	0.65769092	0.5806182622909546	0.6811684966087341	0.10055023431777954	0.554423987865448	163.00192199999583
6	0.35984869554519655	0.647745016	0.5731792449951172	0.6752985715866089	0.1021193265914917	0.9469629155705347	0.9469629155705347	0.36359668068885803	0.6576919	0.602712869644165	0.7057422995567322	0.10302942991256714	0.5599339008331299	36.28624499999569
7	0.3597365081691742	0.6475043735999999	0.5724981427192688	0.6759085655212402	0.10341042280197144	0.9443813938923808	0.9443813938923808	0.36253546566963196	0.65721214	0.583509087562561	0.6843528151512146	0.10084372758865356	0.5609729290008545	28.08004699999583
8	0.35950167552948	0.6481108936	0.5731233358383179	0.6759949922561646	0.10287165641784668	0.9446291560712068	0.9446291560712068	0.3623592535972595	0.65932772	0.5855189561843872	0.6856052875518799	0.10008633136749268	0.562386155128479	122.6459646000003
9	0.3586991103649139	0.6497609456	0.5725299715995789	0.6771578192710876	0.10462784767150879	0.9438938618925832	0.9438938618925832	0.3612992552280426	0.66173236	0.5794857144355774	0.6850742101669312	0.10558849573135376	0.5740979313850403	163.10209349999786
10	0.3587372925853729	0.6500266448	0.5738196969032288	0.6773368716239929	0.10351717472076416	0.9447730179028133	0.9447730179028133	0.36165266304016114	0.66400286	0.5967149138450623	0.7041304707527161	0.10741555690765381	0.5772067308425903	162.8659231000056
11	0.35889191820144656	0.6489578984	0.5737898945808411	0.6770272850990295	0.10323739051818848	0.9482656650226134	0.9482656650226134	0.36075557551383974	0.66489484	0.5926844477653503	0.7033558487892151	0.11067140102386475	0.585667610168457	159.88683380000293
12	0.35928885919570924	0.6489379000000001	0.574457049369812	0.6767943501472473	0.1023373007774353	0.9467391304652709	0.9467391304652709	0.3610069003582001	0.66269324	0.5893368124961853	0.6916536092758179	0.10231679677963257	0.5767406821250916	27.209989700000733
