epoch	train_loss	train_auc	train_d_pos	train_d_neg	train_gap	semihard_fraction	valid_negative_fraction	val_loss	val_auc	val_d_pos	val_d_neg	val_gap	val_d_prime	seconds
1	0.36183022401130704	0.6448902443427315	0.572723925113678	0.6722679138183594	0.0995439887046814	0.941874524007117	0.941874524007117	0.36178797402381896	0.6599630400000001	0.5797206163406372	0.6848945021629333	0.10517388582229614	0.5697333216667175	51.996343400000114
2	0.36101610271116147	0.6454893885402868	0.574031412601471	0.6736313700675964	0.09959995746612549	0.9421239011454166	0.9421239011454166	0.36201584720611574	0.6596794800000001	0.5866066217422485	0.6908993124961853	0.10429269075393677	0.5684104561805725	242.49577240000053
3	0.3603747642025389	0.6465719723274247	0.5738773941993713	0.6746570467948914	0.10077965259552002	0.9450332941557107	0.9450332941557107	0.3620802059173584	0.6597801	0.5805507302284241	0.6841202974319458	0.10356956720352173	0.5662776231765747	91.19660199999998
4	0.35947402382729354	0.6485077567839199	0.5734437704086304	0.6758259534835815	0.10238218307495117	0.9454281420035849	0.9454281420035849	0.36135685358047487	0.66317706	0.5838683843612671	0.690725564956665	0.10685718059539795	0.5752013325691223	184.19984710000062
5	0.35939498595020125	0.6485859117446063	0.5718443989753723	0.6759766340255737	0.10413223505020142	0.9453034531743152	0.9453034531743152	0.3611871867656708	0.6618027	0.5783088803291321	0.6823496222496033	0.10404074192047119	0.5740042328834534	307.4503199999999
6	0.3588267882491585	0.6500280969697535	0.5721119046211243	0.6771247982978821	0.10501289367675781	0.9456359551583146	0.9456359551583146	0.3613233859062195	0.66256962	0.5841723680496216	0.6927274465560913	0.10855507850646973	0.5768142938613892	51.31331589999991
7	0.35880573967151214	0.6502641159207135	0.5720295906066895	0.6772339344024658	0.10520434379577637	0.9471322162787515	0.9471322162787515	0.35978377084732055	0.66608462	0.5796377658843994	0.6880297660827637	0.10839200019836426	0.5888045430183411	243.50833429999966
8	0.35891153999694864	0.650307144216903	0.5723575353622437	0.6770404577255249	0.10468292236328125	0.9473608107192261	0.9473608107192261	0.359623211479187	0.66734264	0.5782411694526672	0.6861525177955627	0.10791134834289551	0.5897605419158936	307.88787460000003
9	0.3580303467865894	0.6517079312231336	0.5719364285469055	0.6781532764434814	0.10621684789657593	0.94783878200072	0.94783878200072	0.36026368265151976	0.6646830799999999	0.5827103853225708	0.6918136477470398	0.109103262424469	0.5856803059577942	308.28827249999995
10	0.3578217394854363	0.6525097681554634	0.5712878108024597	0.6785083413124084	0.10722053050994873	0.9508936437882687	0.9508936437882687	0.36005081996917726	0.66539136	0.5735822916030884	0.6803244948387146	0.10674220323562622	0.5850540995597839	95.53311620000022
11	0.357298880666866	0.6536750082399985	0.5707862973213196	0.6794770956039429	0.10869079828262329	0.9496259804527064	0.9496259804527064	0.35890539093017576	0.66954988	0.5808632969856262	0.6941720247268677	0.11330872774124146	0.5994253754615784	226.00200440000026
12	0.3569883742460289	0.6541806738003979	0.5708415508270264	0.6799660325050354	0.10912448167800903	0.9496883237897012	0.9496883237897012	0.3593501601219177	0.6668071600000001	0.5781407952308655	0.6856750845909119	0.10753428936004639	0.5919973850250244	311.0689990000001
13	0.35691936280661984	0.6547656281850098	0.5712494254112244	0.6798967123031616	0.10864728689193726	0.950748175011014	0.950748175011014	0.35949143080711365	0.67010976	0.5912095904350281	0.7062174677848816	0.11500787734985352	0.5988911986351013	308.7405382000006
14	0.35774456808097344	0.6526938684219072	0.5711498260498047	0.6787695288658142	0.10761970281600952	0.9504780175531297	0.9504780175531297	0.35862686443328856	0.66950176	0.5788326859474182	0.6901047825813293	0.11127209663391113	0.6002712845802307	308.27693589999944
15	0.35693316626132576	0.6546574138566026	0.5722841620445251	0.6805691719055176	0.10828500986099243	0.9495220726862216	0.9495220726862216	0.3587018586158752	0.6694608799999999	0.5790262222290039	0.6889587044715881	0.10993248224258423	0.5989960432052612	180.95728280000003
16	0.35644537671248516	0.6557226545630244	0.5708544254302979	0.6809130311012268	0.11005860567092896	0.9508520818856588	0.9508520818856588	0.35839743242263794	0.6694911400000001	0.576892614364624	0.6902409791946411	0.11334836483001709	0.60303795337677	105.30268169999908
17	0.35636969914014205	0.6560367900386191	0.5704423189163208	0.6809759736061096	0.11053365468978882	0.9505611429190696	0.9505611429190696	0.35883451952934264	0.66889146	0.5866195559501648	0.6984707713127136	0.11185121536254883	0.6006128787994385	307.78262039999936
